ID,OrganizationID,UserID,PreferredUserID,Rank
0,0,8,7,1
1,0,8,13,2
2,0,9,13,1
3,0,9,16,2
4,0,10,14,1
5,0,10,13,2
6,0,11,15,1
7,0,11,14,2
8,0,12,16,1
9,0,12,17,2
10,0,7,8,1
11,0,7,9,2
12,0,13,9,1
13,0,13,10,2
14,0,14,10,1
15,0,14,11,2
16,0,15,11,1
17,0,15,12,2
18,0,16,12,1
19,0,16,10,2
20,0,17,12,1
21,0,17,9,2
22,1,0,18,1
23,1,0,8,2
24,1,7,8,1
25,1,7,2,2
26,1,3,20,1
27,1,3,21,2
28,1,4,21,1
29,1,4,20,2
30,1,5,2,1
31,1,5,19,2
32,1,18,0,1
33,1,18,7,2
34,1,19,5,1
35,1,19,0,2
36,1,20,3,1
37,1,20,4,2
38,1,21,4,1
39,1,21,0,2
40,1,2,5,1
41,1,2,0,2
42,1,8,7,1
43,1,8,5,2
